date,indicator,value,entity
2021-05-07,Daily hospital occupancy,3915,Canada
2021-05-08,Daily hospital occupancy,3902,Canada
2021-05-09,Daily hospital occupancy,3953,Canada
2021-05-10,Daily hospital occupancy,3830,Canada
2021-05-11,Daily hospital occupancy,3844,Canada
2021-05-12,Daily hospital occupancy,3781,Canada
2021-05-13,Daily hospital occupancy,3765,Canada
2021-05-14,Daily hospital occupancy,3596,Canada
2021-05-15,Daily hospital occupancy,3605,Canada
2021-05-16,Daily hospital occupancy,3643,Canada
2021-05-17,Daily hospital occupancy,3512,Canada
2021-05-18,Daily hospital occupancy,3423,Canada
2021-05-19,Daily hospital occupancy,3341,Canada
2021-05-20,Daily hospital occupancy,3222,Canada
2021-05-21,Daily hospital occupancy,3206,Canada
2021-05-22,Daily hospital occupancy,3069,Canada
2021-05-23,Daily hospital occupancy,3102,Canada
2021-05-24,Daily hospital occupancy,3037,Canada
2021-05-25,Daily hospital occupancy,2951,Canada
2021-05-26,Daily hospital occupancy,2868,Canada
2021-05-27,Daily hospital occupancy,2730,Canada
2021-05-28,Daily hospital occupancy,2584,Canada
2021-05-29,Daily hospital occupancy,2529,Canada
2021-05-30,Daily hospital occupancy,2499,Canada
2021-05-31,Daily hospital occupancy,2368,Canada
2021-06-01,Daily hospital occupancy,2317,Canada
2021-06-02,Daily hospital occupancy,2197,Canada
2021-06-03,Daily hospital occupancy,2099,Canada
2021-06-04,Daily hospital occupancy,2002,Canada
2021-06-05,Daily hospital occupancy,1991,Canada
2021-06-06,Daily hospital occupancy,1944,Canada
2021-06-07,Daily hospital occupancy,1891,Canada
2021-06-08,Daily hospital occupancy,1814,Canada
2021-06-09,Daily hospital occupancy,1751,Canada
2021-06-10,Daily hospital occupancy,1664,Canada
2021-06-11,Daily hospital occupancy,1578,Canada
2021-06-12,Daily hospital occupancy,1575,Canada
2021-06-13,Daily hospital occupancy,1538,Canada
2021-06-14,Daily hospital occupancy,1508,Canada
2021-06-15,Daily hospital occupancy,1438,Canada
2021-06-16,Daily hospital occupancy,1371,Canada
2021-06-17,Daily hospital occupancy,1305,Canada
2021-06-18,Daily hospital occupancy,1252,Canada
2021-06-19,Daily hospital occupancy,1224,Canada
2021-06-20,Daily hospital occupancy,1239,Canada
2021-06-21,Daily hospital occupancy,1156,Canada
2021-06-22,Daily hospital occupancy,1128,Canada
2021-06-23,Daily hospital occupancy,1079,Canada
2021-06-24,Daily hospital occupancy,1054,Canada
2021-06-25,Daily hospital occupancy,1011,Canada
2021-06-26,Daily hospital occupancy,993,Canada
2021-06-27,Daily hospital occupancy,996,Canada
2021-06-28,Daily hospital occupancy,978,Canada
2021-06-29,Daily hospital occupancy,935,Canada
2021-06-30,Daily hospital occupancy,891,Canada
2021-07-01,Daily hospital occupancy,858,Canada
2021-07-02,Daily hospital occupancy,821,Canada
2021-07-03,Daily hospital occupancy,800,Canada
2021-07-04,Daily hospital occupancy,802,Canada
2021-07-05,Daily hospital occupancy,792,Canada
2021-07-06,Daily hospital occupancy,781,Canada
2021-07-07,Daily hospital occupancy,772,Canada
2021-07-08,Daily hospital occupancy,715,Canada
2021-07-09,Daily hospital occupancy,692,Canada
2021-07-10,Daily hospital occupancy,706,Canada
2021-07-11,Daily hospital occupancy,693,Canada
2021-07-12,Daily hospital occupancy,675,Canada
2021-07-13,Daily hospital occupancy,658,Canada
2021-07-14,Daily hospital occupancy,637,Canada
2021-07-15,Daily hospital occupancy,618,Canada
2021-07-16,Daily hospital occupancy,589,Canada
2021-07-17,Daily hospital occupancy,595,Canada
2021-07-18,Daily hospital occupancy,611,Canada
2021-07-19,Daily hospital occupancy,579,Canada
2021-07-20,Daily hospital occupancy,562,Canada
2021-07-21,Daily hospital occupancy,560,Canada
2021-07-22,Daily hospital occupancy,539,Canada
2021-07-23,Daily hospital occupancy,521,Canada
2021-07-24,Daily hospital occupancy,520,Canada
2021-07-25,Daily hospital occupancy,527,Canada
2021-07-26,Daily hospital occupancy,513,Canada
2021-07-27,Daily hospital occupancy,491,Canada
2021-07-28,Daily hospital occupancy,496,Canada
2021-07-29,Daily hospital occupancy,493,Canada
2021-07-30,Daily hospital occupancy,482,Canada
2021-07-31,Daily hospital occupancy,470,Canada
2021-08-01,Daily hospital occupancy,478,Canada
2021-08-02,Daily hospital occupancy,483,Canada
2021-08-03,Daily hospital occupancy,493,Canada
2021-08-04,Daily hospital occupancy,513,Canada
2021-08-05,Daily hospital occupancy,544,Canada
2021-08-06,Daily hospital occupancy,511,Canada
2021-08-07,Daily hospital occupancy,522,Canada
2021-08-08,Daily hospital occupancy,516,Canada
2021-08-09,Daily hospital occupancy,543,Canada
2021-08-10,Daily hospital occupancy,563,Canada
2021-08-11,Daily hospital occupancy,590,Canada
2021-08-12,Daily hospital occupancy,616,Canada
2021-08-13,Daily hospital occupancy,639,Canada
2021-08-14,Daily hospital occupancy,630,Canada
2021-08-15,Daily hospital occupancy,652,Canada
2021-08-16,Daily hospital occupancy,710,Canada
2021-08-17,Daily hospital occupancy,734,Canada
2021-08-18,Daily hospital occupancy,775,Canada
2021-08-19,Daily hospital occupancy,825,Canada
2021-08-20,Daily hospital occupancy,873,Canada
2021-08-21,Daily hospital occupancy,775,Canada
2021-08-22,Daily hospital occupancy,838,Canada
2021-08-23,Daily hospital occupancy,858,Canada
2021-08-24,Daily hospital occupancy,1043,Canada
2021-08-25,Daily hospital occupancy,1089,Canada
2021-08-26,Daily hospital occupancy,1158,Canada
2021-08-27,Daily hospital occupancy,1186,Canada
2021-08-28,Daily hospital occupancy,1195,Canada
2021-08-29,Daily hospital occupancy,1222,Canada
2021-08-30,Daily hospital occupancy,1288,Canada
2021-08-31,Daily hospital occupancy,1336,Canada
2021-09-01,Daily hospital occupancy,1373,Canada
2021-09-02,Daily hospital occupancy,1409,Canada
2021-09-03,Daily hospital occupancy,1484,Canada
2021-09-04,Daily hospital occupancy,1532,Canada
2021-09-05,Daily hospital occupancy,1570,Canada
2021-09-06,Daily hospital occupancy,1608,Canada
2021-09-07,Daily hospital occupancy,1703,Canada
2021-09-08,Daily hospital occupancy,1802,Canada
2021-09-09,Daily hospital occupancy,1815,Canada
2021-09-10,Daily hospital occupancy,1904,Canada
2021-09-11,Daily hospital occupancy,1565,Canada
2021-09-12,Daily hospital occupancy,1972,Canada
2021-09-13,Daily hospital occupancy,2010,Canada
2021-09-14,Daily hospital occupancy,2094,Canada
2021-09-15,Daily hospital occupancy,2127,Canada
2021-09-16,Daily hospital occupancy,2126,Canada
2021-09-17,Daily hospital occupancy,2173,Canada
2021-09-18,Daily hospital occupancy,1856,Canada
2021-09-19,Daily hospital occupancy,1865,Canada
2021-09-20,Daily hospital occupancy,2288,Canada
2021-09-21,Daily hospital occupancy,2353,Canada
